run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
69,"([16, 45, 50, 124], np.float64(0.3453404146928171))","([50], np.float64(29.527556249189626))","([16, 45, 50, 124], np.float64(0.1294428719749627))","([16, 45, 50, 124], np.float64(0.13157184441105282))"
70,"([25, 208, 234, 247], np.float64(0.3118170780437955))","([208, 247], np.float64(18.372006505420927))","([25, 208, 234, 247], np.float64(0.05998874813267522))","([25, 208, 234, 247], np.float64(0.06217430968282325))"
71,"([41, 120, 174, 179], np.float64(0.21148407524165955))","([41, 120, 174, 179], np.float64(0.6734344013024091))","([41, 120, 174, 179], np.float64(0.05700751407169929))","([41, 120, 174, 179], np.float64(0.05741751685071277))"
72,"([18, 57, 72, 152], np.float64(0.06646198542839221))","([72], np.float64(26.962164479248784))","([18, 57, 72, 152], np.float64(0.02198474789412424))","([18, 57, 72, 152], np.float64(0.022320581813904432))"
73,"([69, 102, 161, 241], np.float64(0.2926354931022822))","([161], np.float64(28.434050322381736))","([69, 102, 161, 241], np.float64(0.14443312441116798))","([69, 102, 161, 241], np.float64(0.14148705971573117))"
74,"([60, 112, 119, 182], np.float64(0.439209519427109))","([60, 119, 182], np.float64(11.362631212904944))","([60, 112, 119, 182], np.float64(0.04224433688554249))","([60, 112, 119, 182], np.float64(0.04125652428099104))"
75,"([66, 74, 75, 135], np.float64(0.2222314476669335))","([75], np.float64(28.541489504485966))","([66, 74, 75, 135], np.float64(0.017238481687835608))","([66, 74, 75, 135], np.float64(0.017354101235094538))"
76,"([9, 33, 65, 224], np.float64(0.38785167090901773))","([], np.float64(36.65128668936202))","([9, 33, 65, 224], np.float64(0.07188001441756178))","([9, 33, 65, 224], np.float64(0.07348152349746505))"
77,"([84, 100, 160, 183], np.float64(2.01723407219473))","([100], np.float64(26.28784040778095))","([84, 100, 160, 183], np.float64(0.20267447722767337))","([84, 100, 147, 160], np.float64(10.879203479285117))"
78,"([38, 82, 136, 145], np.float64(0.5961936811876486))","([], np.float64(33.97585851375037))","([38, 82, 136, 145], np.float64(0.09041478253552507))","([136, 145], np.float64(18.42806348618726))"
79,"([35, 100, 182, 208], np.float64(1.4498301094862274))","([], np.float64(37.14716528343216))","([35, 100, 182, 208], np.float64(0.05644364346555315))","([35, 100, 182, 208], np.float64(0.0540557164829295))"
80,"([73, 82, 112, 177], np.float64(0.6099573716365615))","([112], np.float64(27.380864732185074))","([73, 82, 112, 177], np.float64(0.09805019501558172))","([73, 82, 112, 177], np.float64(0.09991879289304721))"
81,"([5, 22, 97, 150], np.float64(0.24623435991813317))","([97], np.float64(27.74414028236825))","([5, 22, 97, 150], np.float64(0.11362847366349085))","([5, 22, 97, 150, 155], np.float64(0.1596419892396652))"
